,word,pronunciation,common tag,jlpt tag,meanings_wrapper,details_href,verb_tag
42,窓,まど,Common word,JLPT N5,"{'Noun': 'window', 'Wikipedia definition': 'Window', 'Other forms': '窗 【まど】、牖 【まど】'}",https://jisho.org/word/窓,Not Verb
43,動物,どうぶつ,Common word,JLPT N5,"{'Noun': 'animal', 'Wikipedia definition': 'Animal'}",https://jisho.org/word/動物,Not Verb
44,夜,よる,Common word,JLPT N5,"{'Adverbial noun, Temporal noun': 'evening; night', 'Wikipedia definition': 'Night', 'Other forms': '夜 【よ】'}",https://jisho.org/word/夜,Not Verb
45,料理,りょうり,Common word,JLPT N5,"{'Noun, Suru verb': 'cooking; cookery; cuisine', 'Wikipedia definition': 'dealing with something; handling; administration; management'}",https://jisho.org/word/料理,suru
46,夏,なつ,Common word,JLPT N5,"{'Adverbial noun, Temporal noun': 'summer', 'Wikipedia definition': 'Summer'}",https://jisho.org/word/夏,Not Verb
47,新聞,しんぶん,Common word,JLPT N5,"{'Noun': 'newspaper', 'Wikipedia definition': 'Newspaper'}",https://jisho.org/word/新聞,Not Verb
48,公園,こうえん,Common word,JLPT N5,"{'Noun': '(public) park', 'Wikipedia definition': 'Park'}",https://jisho.org/word/公園,Not Verb
49,意味,いみ,Common word,JLPT N5,"{'Noun, Suru verb': 'meaning; significance; sense', 'Wikipedia definition': 'Meaning (linguistics)'}",https://jisho.org/word/意味,suru
50,自転車,じてんしゃ,Common word,JLPT N5,"{'Noun': 'bicycle', 'Wikipedia definition': 'Bicycle', 'Other forms': '自転車 【じでんしゃ】', 'Notes': 'じでんしゃ: Irregular kana usage.'}",https://jisho.org/word/自転車,Not Verb
51,足,あし,Common word,JLPT N5,"{'Noun': 'foot; paw; arm (of an octopus, squid, etc.)', 'Wikipedia definition': 'leg', 'Other forms': 'gait'}",https://jisho.org/word/足,Not Verb
52,電車,でんしゃ,Common word,JLPT N5,"{'Noun': 'train; electric train', 'Wikipedia definition': 'Electric multiple unit'}",https://jisho.org/word/電車,Not Verb
53,散歩,さんぽ,Common word,JLPT N5,"{'Noun, Suru verb': 'walk; stroll', 'Wikipedia definition': 'Strolling'}",https://jisho.org/word/散歩,suru
54,声,こえ,Common word,JLPT N5,"{'Noun': 'voice', 'Wikipedia definition': 'singing (of a bird); chirping (of an insect); hoot', 'Other forms': 'voice; opinion (as expressed in words); view; wish; attitude; will', 'Notes': 'sound'}",https://jisho.org/word/声,Not Verb
55,朝,あさ,Common word,JLPT N5,"{'Adverbial noun, Temporal noun': 'morning', 'Noun': 'next morning', 'Wikipedia definition': 'Morning', 'Other forms': '朝 【あした】、晨 【あした】'}",https://jisho.org/word/朝,Not Verb
56,歌,うた,Common word,JLPT N5,"{'Noun': 'song', 'Wikipedia definition': 'classical Japanese poetry (esp. tanka)', 'Other forms': 'modern poetry'}",https://jisho.org/word/歌,Not Verb
57,靴,くつ,Common word,JLPT N5,"{'Noun': 'shoe; shoes; boots; footwear; footgear', 'Wikipedia definition': 'Shoe', 'Other forms': '沓 【くつ】、履 【くつ】、鞋 【くつ】'}",https://jisho.org/word/靴,Not Verb
58,箱,はこ,Common word,JLPT N5,"{'Noun': 'box; case; chest; package; pack; crate', 'Suffix, Counter': 'car (of a train, etc.)', 'Wikipedia definition': 'shamisen case; shamisen', 'Other forms': 'public building; community building'}",https://jisho.org/word/箱,Not Verb
59,机,つくえ,Common word,JLPT N5,"{'Noun': 'desk', 'Wikipedia definition': 'Desk', 'Other forms': '案 【つくえ】、机 【つき】', 'Notes': '案: Out-dated kanji. つき: Out-dated or obsolete kana usage.'}",https://jisho.org/word/机,Not Verb
60,帽子,ぼうし,Common word,JLPT N5,"{'Noun': 'hat; cap', 'Wikipedia definition': 'Headgear'}",https://jisho.org/word/帽子,Not Verb
61,海,うみ,Common word,JLPT N5,"{'Noun': 'sea; ocean; waters', 'Wikipedia definition': 'Sea', 'Other forms': '海 【み】、海 【わた】、海 【わだ】', 'Notes': 'み: Out-dated or obsolete kana usage. わた: Out-dated or obsolete kana usage. わだ: Out-dated or obsolete kana usage.'}",https://jisho.org/word/海,Not Verb
62,授業,じゅぎょう,Common word,JLPT N5,"{'Noun, Suru verb': 'lesson; class work; teaching; instruction', 'Wikipedia definition': 'Lesson'}",https://jisho.org/word/授業,suru
63,銀行,ぎんこう,Common word,JLPT N5,"{'Noun, No-adjective': 'bank', 'Wikipedia definition': 'Bank'}",https://jisho.org/word/銀行,Not Verb
